Sensors in this area:
Sensor1 (lat:44, long:-0.3) ()
Sensor2 (lat:44, long:0.4) ()
Sensor11 (lat:44.4, long:-0.3) ()
Sensor12 (lat:44.4, long:0.4) ()
Sensor66 (lat:46.4, long:3.2) ()
Sensor76 (lat:46.8, long:3.2) ()
Sensor77 (lat:46.8, long:3.9) ()
Sensor86 (lat:47.2, long:3.2) ()
Sensor87 (lat:47.2, long:3.9) ()
Sensor96 (lat:47.6, long:3.2) ()
Sensor97 (lat:47.6, long:3.9) ()
Measures for this area: 
2019-05-11 12:00:00 Sensor11 SO2 40.27
2019-05-11 12:00:00 Sensor11 PM10 61.49
2019-05-12 12:00:00 Sensor11 O3 66.79
2019-05-12 12:00:00 Sensor11 NO2 40.45
2019-05-12 12:00:00 Sensor11 SO2 68.12
2019-05-12 12:00:00 Sensor11 PM10 50.84
2019-05-13 12:00:00 Sensor11 O3 52.3
2019-05-13 12:00:00 Sensor11 NO2 38.89
2019-05-13 12:00:00 Sensor11 SO2 44.31
2019-05-13 12:00:00 Sensor11 PM10 59.99
2019-05-14 12:00:00 Sensor11 O3 40.69
2019-05-14 12:00:00 Sensor11 NO2 31.92
2019-05-14 12:00:00 Sensor11 SO2 62.53
2019-05-14 12:00:00 Sensor11 PM10 41.92
2019-05-15 12:00:00 Sensor11 O3 45.15
2019-05-15 12:00:00 Sensor11 NO2 70.65
2019-05-15 12:00:00 Sensor11 SO2 39.85
2019-05-15 12:00:00 Sensor11 PM10 45.61
2019-05-16 12:00:00 Sensor11 O3 39.9
2019-05-16 12:00:00 Sensor11 NO2 50.83
2019-05-16 12:00:00 Sensor11 SO2 71.36
2019-05-16 12:00:00 Sensor11 PM10 58.19
2019-05-17 12:00:00 Sensor11 O3 68.99
2019-05-17 12:00:00 Sensor11 NO2 65.94
2019-05-17 12:00:00 Sensor11 SO2 45.39
2019-05-17 12:00:00 Sensor11 PM10 35.41
2019-05-18 12:00:00 Sensor11 O3 58.22
2019-05-18 12:00:00 Sensor11 NO2 66.54
2019-05-18 12:00:00 Sensor11 SO2 64.56
2019-05-18 12:00:00 Sensor11 PM10 26.31
2019-05-19 12:00:00 Sensor11 O3 34.45
2019-05-19 12:00:00 Sensor11 NO2 48.65
2019-05-19 12:00:00 Sensor11 SO2 54.53
2019-05-19 12:00:00 Sensor11 PM10 41.44
2019-05-20 12:00:00 Sensor11 O3 57.45
2019-05-20 12:00:00 Sensor11 NO2 37.05
2019-05-20 12:00:00 Sensor11 SO2 50.16
2019-05-20 12:00:00 Sensor11 PM10 43.94
2019-05-21 12:00:00 Sensor11 O3 43.39
2019-05-21 12:00:00 Sensor11 NO2 69.46
2019-05-21 12:00:00 Sensor11 SO2 62.35
2019-05-21 12:00:00 Sensor11 PM10 36.16
2019-05-22 12:00:00 Sensor11 O3 70.77
2019-05-22 12:00:00 Sensor11 NO2 54.9
2019-05-22 12:00:00 Sensor11 SO2 67.91
2019-05-22 12:00:00 Sensor11 PM10 37.55
2019-05-23 12:00:00 Sensor11 O3 44.12
2019-05-23 12:00:00 Sensor11 NO2 54.45
2019-05-23 12:00:00 Sensor11 SO2 72.43
2019-05-23 12:00:00 Sensor11 PM10 56.95
2019-05-24 12:00:00 Sensor11 O3 47.6
2019-05-24 12:00:00 Sensor11 NO2 59.52
2019-05-24 12:00:00 Sensor11 SO2 51.77
2019-05-24 12:00:00 Sensor11 PM10 46.26
2019-05-25 12:00:00 Sensor11 O3 50.71
2019-05-25 12:00:00 Sensor11 NO2 54.71
2019-05-25 12:00:00 Sensor11 SO2 75.99
2019-05-25 12:00:00 Sensor11 PM10 41.67
2019-05-26 12:00:00 Sensor11 O3 55.36
2019-05-26 12:00:00 Sensor11 NO2 62.25
2019-05-26 12:00:00 Sensor11 SO2 40.74
2019-05-26 12:00:00 Sensor11 PM10 54.48
2019-05-27 12:00:00 Sensor11 O3 43.66
2019-05-27 12:00:00 Sensor11 NO2 46.18
2019-05-27 12:00:00 Sensor11 SO2 60.36
2019-05-27 12:00:00 Sensor11 PM10 45.8
2019-05-28 12:00:00 Sensor11 O3 43.25
2019-05-28 12:00:00 Sensor11 NO2 55.72
2019-05-28 12:00:00 Sensor11 SO2 52.18
2019-05-28 12:00:00 Sensor11 PM10 40.27
2019-05-29 12:00:00 Sensor11 O3 41.94
2019-05-29 12:00:00 Sensor11 NO2 50.21
2019-05-29 12:00:00 Sensor11 SO2 41.94
2019-05-29 12:00:00 Sensor11 PM10 43.17
2019-05-30 12:00:00 Sensor11 O3 39.99
2019-05-30 12:00:00 Sensor11 NO2 45.2
2019-05-30 12:00:00 Sensor11 SO2 40.97
2019-05-30 12:00:00 Sensor11 PM10 33.72
2019-05-31 12:00:00 Sensor11 O3 39
2019-05-31 12:00:00 Sensor11 NO2 41.24
2019-05-31 12:00:00 Sensor11 SO2 63.22
2019-05-31 12:00:00 Sensor11 PM10 36.46
2019-06-01 12:00:00 Sensor11 O3 46.18
2019-06-01 12:00:00 Sensor11 NO2 47.85
2019-06-01 12:00:00 Sensor11 SO2 45.31
2019-06-01 12:00:00 Sensor11 PM10 37.51
2019-06-02 12:00:00 Sensor11 O3 41.72
2019-06-02 12:00:00 Sensor11 NO2 37.07
2019-06-02 12:00:00 Sensor11 SO2 57.81
2019-06-02 12:00:00 Sensor11 PM10 45.65
2019-06-03 12:00:00 Sensor11 O3 62.1
2019-06-03 12:00:00 Sensor11 NO2 60.31
2019-06-03 12:00:00 Sensor11 SO2 49.14
2019-06-03 12:00:00 Sensor11 PM10 46.91
2019-06-04 12:00:00 Sensor11 O3 62.65
2019-06-04 12:00:00 Sensor11 NO2 52.88
2019-06-04 12:00:00 Sensor11 SO2 36.19
2019-06-04 12:00:00 Sensor11 PM10 42.6
2019-06-05 12:00:00 Sensor11 O3 63.23
2019-06-05 12:00:00 Sensor11 NO2 48.33
2019-06-05 12:00:00 Sensor11 SO2 55.27
2019-06-05 12:00:00 Sensor11 PM10 50.85
2019-06-06 12:00:00 Sensor11 O3 62.21
2019-06-06 12:00:00 Sensor11 NO2 62.73
2019-06-06 12:00:00 Sensor11 SO2 40.89
2019-06-06 12:00:00 Sensor11 PM10 54.29
2019-06-07 12:00:00 Sensor11 O3 29.1
2019-06-07 12:00:00 Sensor11 NO2 49.27
2019-06-07 12:00:00 Sensor11 SO2 47.35
2019-06-07 12:00:00 Sensor11 PM10 27.09
2019-06-08 12:00:00 Sensor11 O3 58.12
2019-06-08 12:00:00 Sensor11 NO2 61.71
2019-06-08 12:00:00 Sensor11 SO2 49.26
2019-06-08 12:00:00 Sensor11 PM10 44.79
2019-06-09 12:00:00 Sensor11 O3 56.18
2019-06-09 12:00:00 Sensor11 NO2 56.91
2019-06-09 12:00:00 Sensor11 SO2 47.3
2019-06-09 12:00:00 Sensor11 PM10 55.05
2019-06-10 12:00:00 Sensor11 O3 47.7
2019-06-10 12:00:00 Sensor11 NO2 45.91
2019-06-10 12:00:00 Sensor11 SO2 43.87
2019-06-10 12:00:00 Sensor11 PM10 38.02
2019-06-11 12:00:00 Sensor11 O3 28.05
2019-06-11 12:00:00 Sensor11 NO2 60.78
2019-06-11 12:00:00 Sensor11 SO2 53.33
2019-06-11 12:00:00 Sensor11 PM10 34.16
2019-06-12 12:00:00 Sensor11 O3 62.54
2019-06-12 12:00:00 Sensor11 NO2 50.25
2019-06-12 12:00:00 Sensor11 SO2 49.11
2019-06-12 12:00:00 Sensor11 PM10 65.47
2019-06-13 12:00:00 Sensor11 O3 40.27
2019-06-13 12:00:00 Sensor11 NO2 75.73
2019-06-13 12:00:00 Sensor11 SO2 55.62
2019-06-13 12:00:00 Sensor11 PM10 51.43
2019-06-14 12:00:00 Sensor11 O3 36.67
2019-06-14 12:00:00 Sensor11 NO2 46.18
2019-06-14 12:00:00 Sensor11 SO2 48.7
2019-06-14 12:00:00 Sensor11 PM10 44.59
2019-06-15 12:00:00 Sensor11 O3 56.44
2019-06-15 12:00:00 Sensor11 NO2 33.14
2019-06-15 12:00:00 Sensor11 SO2 47.22
2019-06-15 12:00:00 Sensor11 PM10 41.16
2019-06-16 12:00:00 Sensor11 O3 33.26
2019-06-16 12:00:00 Sensor11 NO2 52.64
2019-06-16 12:00:00 Sensor11 SO2 61.77
2019-06-16 12:00:00 Sensor11 PM10 51.71
2019-06-17 12:00:00 Sensor11 O3 47.59
2019-06-17 12:00:00 Sensor11 NO2 37.48
2019-06-17 12:00:00 Sensor11 SO2 77.35
2019-06-17 12:00:00 Sensor11 PM10 52.38
2019-06-18 12:00:00 Sensor11 O3 65.54
2019-06-18 12:00:00 Sensor11 NO2 32.31
2019-06-18 12:00:00 Sensor11 SO2 60.84
2019-06-18 12:00:00 Sensor11 PM10 53.28
2019-06-19 12:00:00 Sensor11 O3 50.01
2019-06-19 12:00:00 Sensor11 NO2 54.99
2019-06-19 12:00:00 Sensor11 SO2 64.86
2019-06-19 12:00:00 Sensor11 PM10 45.31
2019-06-20 12:00:00 Sensor11 O3 59
2019-06-20 12:00:00 Sensor11 NO2 40.51
2019-06-20 12:00:00 Sensor11 SO2 38.63
2019-06-20 12:00:00 Sensor11 PM10 53.06
2019-06-21 12:00:00 Sensor11 O3 49.44
2019-06-21 12:00:00 Sensor11 NO2 74.39
2019-06-21 12:00:00 Sensor11 SO2 51.85
2019-06-21 12:00:00 Sensor11 PM10 60.3
2019-06-22 12:00:00 Sensor11 O3 53.35
2019-06-22 12:00:00 Sensor11 NO2 23.23
2019-06-22 12:00:00 Sensor11 SO2 35.48
2019-06-22 12:00:00 Sensor11 PM10 59.45
2019-06-23 12:00:00 Sensor11 O3 76.45
2019-06-23 12:00:00 Sensor11 NO2 57.79
2019-06-23 12:00:00 Sensor11 SO2 52.33
2019-06-23 12:00:00 Sensor11 PM10 42.48
2019-06-24 12:00:00 Sensor11 O3 51.56
2019-06-24 12:00:00 Sensor11 NO2 67.08
2019-06-24 12:00:00 Sensor11 SO2 50.85
2019-06-24 12:00:00 Sensor11 PM10 46.58
2019-06-25 12:00:00 Sensor11 O3 48.54
2019-06-25 12:00:00 Sensor11 NO2 58.53
2019-06-25 12:00:00 Sensor11 SO2 60.14
2019-06-25 12:00:00 Sensor11 PM10 76.54
2019-06-26 12:00:00 Sensor11 O3 47.62
2019-06-26 12:00:00 Sensor11 NO2 73.41
2019-06-26 12:00:00 Sensor11 SO2 72.91
2019-06-26 12:00:00 Sensor11 PM10 48.06
2019-06-27 12:00:00 Sensor11 O3 55.45
2019-06-27 12:00:00 Sensor11 NO2 40.54
2019-06-27 12:00:00 Sensor11 SO2 36.65
2019-06-27 12:00:00 Sensor11 PM10 57.56
2019-06-28 12:00:00 Sensor11 O3 35.72
2019-06-28 12:00:00 Sensor11 NO2 54.35
2019-06-28 12:00:00 Sensor11 SO2 45.29
2019-06-28 12:00:00 Sensor11 PM10 43.39
2019-06-29 12:00:00 Sensor11 O3 45.09
2019-06-29 12:00:00 Sensor11 NO2 46
2019-06-29 12:00:00 Sensor11 SO2 28.92
2019-06-29 12:00:00 Sensor11 PM10 36.26
2019-06-30 12:00:00 Sensor11 O3 55.15
2019-06-30 12:00:00 Sensor11 NO2 53.46
2019-06-30 12:00:00 Sensor11 SO2 40.76
2019-06-30 12:00:00 Sensor11 PM10 43.03
2019-07-01 12:00:00 Sensor11 O3 67.27
2019-07-01 12:00:00 Sensor11 NO2 50.03
2019-07-01 12:00:00 Sensor11 SO2 75.12
2019-07-01 12:00:00 Sensor11 PM10 48.8
2019-07-02 12:00:00 Sensor11 O3 64.38
2019-07-02 12:00:00 Sensor11 NO2 53.06
2019-07-02 12:00:00 Sensor11 SO2 36.96
2019-07-02 12:00:00 Sensor11 PM10 45.91
2019-07-03 12:00:00 Sensor11 O3 60.33
2019-07-03 12:00:00 Sensor11 NO2 58.45
2019-07-03 12:00:00 Sensor11 SO2 48.24
2019-07-03 12:00:00 Sensor11 PM10 51.65
2019-07-04 12:00:00 Sensor11 O3 54.75
2019-07-04 12:00:00 Sensor11 NO2 38.79
2019-07-04 12:00:00 Sensor11 SO2 56.23
2019-07-04 12:00:00 Sensor11 PM10 53.18
2019-07-05 12:00:00 Sensor11 O3 38.37
2019-07-05 12:00:00 Sensor11 NO2 46.33
2019-07-05 12:00:00 Sensor11 SO2 47.8
2019-07-05 12:00:00 Sensor11 PM10 49.04
2019-07-06 12:00:00 Sensor11 O3 46.66
2019-07-06 12:00:00 Sensor11 NO2 50.02
2019-07-06 12:00:00 Sensor11 SO2 48.42
2019-07-06 12:00:00 Sensor11 PM10 46.42
2019-07-07 12:00:00 Sensor11 O3 46.79
2019-07-07 12:00:00 Sensor11 NO2 49.3
2019-07-07 12:00:00 Sensor11 SO2 55.9
2019-07-07 12:00:00 Sensor11 PM10 49.31
2019-07-08 12:00:00 Sensor11 O3 45.55
2019-07-08 12:00:00 Sensor11 NO2 52.2
2019-07-08 12:00:00 Sensor11 SO2 60.41
2019-07-08 12:00:00 Sensor11 PM10 55.25
2019-07-09 12:00:00 Sensor11 O3 30.89
2019-07-09 12:00:00 Sensor11 NO2 39.79
2019-07-09 12:00:00 Sensor11 SO2 42.65
2019-07-09 12:00:00 Sensor11 PM10 55.15
2019-07-10 12:00:00 Sensor11 O3 51.96
2019-07-10 12:00:00 Sensor11 NO2 54.21
2019-07-10 12:00:00 Sensor11 SO2 31.21
2019-07-10 12:00:00 Sensor11 PM10 56.17
2019-07-11 12:00:00 Sensor11 O3 34.81
2019-07-11 12:00:00 Sensor11 NO2 45.39
2019-07-11 12:00:00 Sensor11 SO2 49.35
2019-07-11 12:00:00 Sensor11 PM10 53.11
2019-07-12 12:00:00 Sensor11 O3 43.49
2019-07-12 12:00:00 Sensor11 NO2 56.46
2019-07-12 12:00:00 Sensor11 SO2 44.1
2019-07-12 12:00:00 Sensor11 PM10 46.42
2019-07-13 12:00:00 Sensor11 O3 49.64
2019-07-13 12:00:00 Sensor11 NO2 64.56
2019-07-13 12:00:00 Sensor11 SO2 34.08
2019-07-13 12:00:00 Sensor11 PM10 52.24
2019-07-14 12:00:00 Sensor11 O3 54.76
2019-07-14 12:00:00 Sensor11 NO2 48.09
2019-07-14 12:00:00 Sensor11 SO2 39.37
2019-07-14 12:00:00 Sensor11 PM10 49.47
2019-07-15 12:00:00 Sensor11 O3 41.22
2019-07-15 12:00:00 Sensor11 NO2 53.47
2019-07-15 12:00:00 Sensor11 SO2 61.37
2019-07-15 12:00:00 Sensor11 PM10 66.53
2019-07-16 12:00:00 Sensor11 O3 59.59
2019-07-16 12:00:00 Sensor11 NO2 40.15
2019-07-16 12:00:00 Sensor11 SO2 62.41
2019-07-16 12:00:00 Sensor11 PM10 50.87
2019-07-17 12:00:00 Sensor11 O3 36.96
2019-07-17 12:00:00 Sensor11 NO2 49.76
2019-07-17 12:00:00 Sensor11 SO2 65.01
2019-07-17 12:00:00 Sensor11 PM10 55.46
2019-07-18 12:00:00 Sensor11 O3 46.84
2019-07-18 12:00:00 Sensor11 NO2 41.35
2019-07-18 12:00:00 Sensor11 SO2 65.47
2019-07-18 12:00:00 Sensor11 PM10 51.51
2019-07-19 12:00:00 Sensor11 O3 67.6
2019-07-19 12:00:00 Sensor11 NO2 58.21
2019-07-19 12:00:00 Sensor11 SO2 55.7
2019-07-19 12:00:00 Sensor11 PM10 41.58
2019-07-20 12:00:00 Sensor11 O3 27.47
2019-07-20 12:00:00 Sensor11 NO2 34.99
2019-07-20 12:00:00 Sensor11 SO2 59.11
2019-07-20 12:00:00 Sensor11 PM10 41.44
2019-07-21 12:00:00 Sensor11 O3 45.46
2019-07-21 12:00:00 Sensor11 NO2 54.6
2019-07-21 12:00:00 Sensor11 SO2 45.19
2019-07-21 12:00:00 Sensor11 PM10 41.06
2019-07-22 12:00:00 Sensor11 O3 55.18
2019-07-22 12:00:00 Sensor11 NO2 53.84
2019-07-22 12:00:00 Sensor11 SO2 48.08
2019-07-22 12:00:00 Sensor11 PM10 51.51
2019-07-23 12:00:00 Sensor11 O3 37.27
2019-07-23 12:00:00 Sensor11 NO2 59.44
2019-07-23 12:00:00 Sensor11 SO2 55.11
2019-07-23 12:00:00 Sensor11 PM10 39.35
2019-07-24 12:00:00 Sensor11 O3 57.91
2019-07-24 12:00:00 Sensor11 NO2 45.51
2019-07-24 12:00:00 Sensor11 SO2 48.69
2019-07-24 12:00:00 Sensor11 PM10 62.07
2019-07-25 12:00:00 Sensor11 O3 60.43
2019-07-25 12:00:00 Sensor11 NO2 54.85
2019-07-25 12:00:00 Sensor11 SO2 41.26
2019-07-25 12:00:00 Sensor11 PM10 49.17
2019-07-26 12:00:00 Sensor11 O3 42.11
2019-07-26 12:00:00 Sensor11 NO2 52.06
2019-07-26 12:00:00 Sensor11 SO2 53.52
2019-07-26 12:00:00 Sensor11 PM10 54.08
2019-07-27 12:00:00 Sensor11 O3 66.71
2019-07-27 12:00:00 Sensor11 NO2 51.46
2019-07-27 12:00:00 Sensor11 SO2 65.2
2019-07-27 12:00:00 Sensor11 PM10 37.24
2019-07-28 12:00:00 Sensor11 O3 52.75
2019-07-28 12:00:00 Sensor11 NO2 64.93
2019-07-28 12:00:00 Sensor11 SO2 37.39
2019-07-28 12:00:00 Sensor11 PM10 46.29
2019-07-29 12:00:00 Sensor11 O3 53.51
2019-07-29 12:00:00 Sensor11 NO2 57.86
2019-07-29 12:00:00 Sensor11 SO2 48.53
2019-07-29 12:00:00 Sensor11 PM10 61.76
2019-07-30 12:00:00 Sensor11 O3 48.23
2019-07-30 12:00:00 Sensor11 NO2 49.99
2019-07-30 12:00:00 Sensor11 SO2 66.28
2019-07-30 12:00:00 Sensor11 PM10 39.67
2019-07-31 12:00:00 Sensor11 O3 53.96
2019-07-31 12:00:00 Sensor11 NO2 32.87
2019-07-31 12:00:00 Sensor11 SO2 48.68
2019-07-31 12:00:00 Sensor11 PM10 52.98
2019-08-01 12:00:00 Sensor11 O3 53.47
2019-08-01 12:00:00 Sensor11 NO2 26.34
2019-08-01 12:00:00 Sensor11 SO2 60.49
2019-08-01 12:00:00 Sensor11 PM10 55.47
2019-08-02 12:00:00 Sensor11 O3 51.85
2019-08-02 12:00:00 Sensor11 NO2 53.63
2019-08-02 12:00:00 Sensor11 SO2 45.76
2019-08-02 12:00:00 Sensor11 PM10 59
2019-08-03 12:00:00 Sensor11 O3 41.33
2019-08-03 12:00:00 Sensor11 NO2 59.92
2019-08-03 12:00:00 Sensor11 SO2 53.96
2019-08-03 12:00:00 Sensor11 PM10 56.84
2019-08-04 12:00:00 Sensor11 O3 53.5
2019-08-04 12:00:00 Sensor11 NO2 37.69
2019-08-04 12:00:00 Sensor11 SO2 45.5
2019-08-04 12:00:00 Sensor11 PM10 64.43
2019-08-05 12:00:00 Sensor11 O3 31.31
2019-08-05 12:00:00 Sensor11 NO2 34.15
2019-08-05 12:00:00 Sensor11 SO2 68.36
2019-08-05 12:00:00 Sensor11 PM10 53.7
2019-08-06 12:00:00 Sensor11 O3 59.93
2019-08-06 12:00:00 Sensor11 NO2 51.63
2019-08-06 12:00:00 Sensor11 SO2 70.79
2019-08-06 12:00:00 Sensor11 PM10 49.4
2019-08-07 12:00:00 Sensor11 O3 53.41
2019-08-07 12:00:00 Sensor11 NO2 54.66
2019-08-07 12:00:00 Sensor11 SO2 47.03
2019-08-07 12:00:00 Sensor11 PM10 49.75
2019-08-08 12:00:00 Sensor11 O3 43.88
2019-08-08 12:00:00 Sensor11 NO2 48.23
2019-08-08 12:00:00 Sensor11 SO2 59.2
2019-08-08 12:00:00 Sensor11 PM10 39.65
2019-08-09 12:00:00 Sensor11 O3 45.2
2019-08-09 12:00:00 Sensor11 NO2 44.38
2019-08-09 12:00:00 Sensor11 SO2 59.14
2019-08-09 12:00:00 Sensor11 PM10 52.79
2019-08-10 12:00:00 Sensor11 O3 51.89
2019-08-10 12:00:00 Sensor11 NO2 54.67
2019-08-10 12:00:00 Sensor11 SO2 48.53
2019-08-10 12:00:00 Sensor11 PM10 46.63
2019-08-11 12:00:00 Sensor11 O3 52.55
2019-08-11 12:00:00 Sensor11 NO2 63.46
2019-08-11 12:00:00 Sensor11 SO2 44.02
2019-08-11 12:00:00 Sensor11 PM10 40.41
2019-08-12 12:00:00 Sensor11 O3 37.38
2019-08-12 12:00:00 Sensor11 NO2 66.14
2019-08-12 12:00:00 Sensor11 SO2 56.59
2019-08-12 12:00:00 Sensor11 PM10 52.4
2019-08-13 12:00:00 Sensor11 O3 42.99
2019-08-13 12:00:00 Sensor11 NO2 47.92
2019-08-13 12:00:00 Sensor11 SO2 51.65
2019-08-13 12:00:00 Sensor11 PM10 52.84
2019-08-14 12:00:00 Sensor11 O3 57.92
2019-08-14 12:00:00 Sensor11 NO2 39.42
2019-08-14 12:00:00 Sensor11 SO2 30.92
2019-08-14 12:00:00 Sensor11 PM10 47.3
2019-08-15 12:00:00 Sensor11 O3 46.84
2019-08-15 12:00:00 Sensor11 NO2 60.94
2019-08-15 12:00:00 Sensor11 SO2 54.46
2019-08-15 12:00:00 Sensor11 PM10 41.1
2019-08-16 12:00:00 Sensor11 O3 42.28
2019-08-16 12:00:00 Sensor11 NO2 67.39
2019-08-16 12:00:00 Sensor11 SO2 37.1
2019-08-16 12:00:00 Sensor11 PM10 46.02
2019-08-17 12:00:00 Sensor11 O3 66.18
2019-08-17 12:00:00 Sensor11 NO2 43.01
2019-08-17 12:00:00 Sensor11 SO2 53.9
2019-08-17 12:00:00 Sensor11 PM10 52.13
2019-08-18 12:00:00 Sensor11 O3 56.63
2019-08-18 12:00:00 Sensor11 NO2 40.1
2019-08-18 12:00:00 Sensor11 SO2 43.65
2019-08-18 12:00:00 Sensor11 PM10 56.21
2019-08-19 12:00:00 Sensor11 O3 48.11
2019-08-19 12:00:00 Sensor11 NO2 43.98
2019-08-19 12:00:00 Sensor11 SO2 44.32
2019-08-19 12:00:00 Sensor11 PM10 53.98
2019-08-20 12:00:00 Sensor11 O3 48.25
2019-08-20 12:00:00 Sensor11 NO2 55.46
2019-08-20 12:00:00 Sensor11 SO2 37.96
2019-08-20 12:00:00 Sensor11 PM10 46.38
2019-08-21 12:00:00 Sensor11 O3 50.02
2019-08-21 12:00:00 Sensor11 NO2 60.76
2019-08-21 12:00:00 Sensor11 SO2 54.66
2019-08-21 12:00:00 Sensor11 PM10 52.14
2019-08-22 12:00:00 Sensor11 O3 39.01
2019-08-22 12:00:00 Sensor11 NO2 42.83
2019-08-22 12:00:00 Sensor11 SO2 67.4
2019-08-22 12:00:00 Sensor11 PM10 46.17
2019-08-23 12:00:00 Sensor11 O3 48.45
2019-08-23 12:00:00 Sensor11 NO2 45.71
2019-08-23 12:00:00 Sensor11 SO2 54.98
2019-08-23 12:00:00 Sensor11 PM10 39.8
2019-08-24 12:00:00 Sensor11 O3 76
2019-08-24 12:00:00 Sensor11 NO2 44.28
2019-08-24 12:00:00 Sensor11 SO2 47.42
2019-08-24 12:00:00 Sensor11 PM10 38.15
2019-08-25 12:00:00 Sensor11 O3 34.69
2019-08-25 12:00:00 Sensor11 NO2 38.82
2019-08-25 12:00:00 Sensor11 SO2 44.84
2019-08-25 12:00:00 Sensor11 PM10 54
2019-08-26 12:00:00 Sensor11 O3 63.34
2019-08-26 12:00:00 Sensor11 NO2 65.61
2019-08-26 12:00:00 Sensor11 SO2 80.8
2019-08-26 12:00:00 Sensor11 PM10 54.85
2019-08-27 12:00:00 Sensor11 O3 62.93
2019-08-27 12:00:00 Sensor11 NO2 19.47
2019-08-27 12:00:00 Sensor11 SO2 50.74
2019-08-27 12:00:00 Sensor11 PM10 50.39
2019-08-28 12:00:00 Sensor11 O3 41.13
2019-08-28 12:00:00 Sensor11 NO2 43.97
2019-08-28 12:00:00 Sensor11 SO2 56.62
2019-08-28 12:00:00 Sensor11 PM10 50.05
2019-08-29 12:00:00 Sensor11 O3 65.29
2019-08-29 12:00:00 Sensor11 NO2 55.16
2019-08-29 12:00:00 Sensor11 SO2 40.09
2019-08-29 12:00:00 Sensor11 PM10 39.01
2019-08-30 12:00:00 Sensor11 O3 50.88
2019-08-30 12:00:00 Sensor11 NO2 43.27
2019-08-30 12:00:00 Sensor11 SO2 38.68
2019-08-30 12:00:00 Sensor11 PM10 54.63
2019-08-31 12:00:00 Sensor11 O3 41.04
2019-08-31 12:00:00 Sensor11 NO2 50.99
2019-08-31 12:00:00 Sensor11 SO2 50.19
2019-08-31 12:00:00 Sensor11 PM10 26.95
2019-09-01 12:00:00 Sensor11 O3 43.03
2019-09-01 12:00:00 Sensor11 NO2 64.92
2019-09-01 12:00:00 Sensor11 SO2 52.53
2019-09-01 12:00:00 Sensor11 PM10 41.35
2019-09-02 12:00:00 Sensor11 O3 39.58
2019-09-02 12:00:00 Sensor11 NO2 50.19
2019-09-02 12:00:00 Sensor11 SO2 65.86
2019-09-02 12:00:00 Sensor11 PM10 46.98
2019-09-03 12:00:00 Sensor11 O3 48.79
2019-09-03 12:00:00 Sensor11 NO2 63.36
2019-09-03 12:00:00 Sensor11 SO2 52.44
2019-09-03 12:00:00 Sensor11 PM10 41.27
2019-09-04 12:00:00 Sensor11 O3 43.96
2019-09-04 12:00:00 Sensor11 NO2 39.94
2019-09-04 12:00:00 Sensor11 SO2 68.25
2019-09-04 12:00:00 Sensor11 PM10 55.11
2019-09-05 12:00:00 Sensor11 O3 53.62
2019-09-05 12:00:00 Sensor11 NO2 58.8
2019-09-05 12:00:00 Sensor11 SO2 56.87
2019-09-05 12:00:00 Sensor11 PM10 31.6
2019-09-06 12:00:00 Sensor11 O3 53.59
2019-09-06 12:00:00 Sensor11 NO2 47
2019-09-06 12:00:00 Sensor11 SO2 66.03
2019-09-06 12:00:00 Sensor11 PM10 48.9
2019-09-07 12:00:00 Sensor11 O3 40.47
2019-09-07 12:00:00 Sensor11 NO2 38.18
2019-09-07 12:00:00 Sensor11 SO2 71.84
2019-09-07 12:00:00 Sensor11 PM10 38.25
2019-09-08 12:00:00 Sensor11 O3 48.98
2019-09-08 12:00:00 Sensor11 NO2 45.14
2019-09-08 12:00:00 Sensor11 SO2 40.77
2019-09-08 12:00:00 Sensor11 PM10 51.08
2019-09-09 12:00:00 Sensor11 O3 52.79
2019-09-09 12:00:00 Sensor11 NO2 39.57
2019-09-09 12:00:00 Sensor11 SO2 66.69
2019-09-09 12:00:00 Sensor11 PM10 46.58
2019-09-10 12:00:00 Sensor11 O3 44.19
2019-09-10 12:00:00 Sensor11 NO2 46.56
2019-09-10 12:00:00 Sensor11 SO2 43.6
2019-09-10 12:00:00 Sensor11 PM10 41.36
2019-09-11 12:00:00 Sensor11 O3 59.11
2019-09-11 12:00:00 Sensor11 NO2 75.47
2019-09-11 12:00:00 Sensor11 SO2 56.02
2019-09-11 12:00:00 Sensor11 PM10 55.13
2019-09-12 12:00:00 Sensor11 O3 46.35
2019-09-12 12:00:00 Sensor11 NO2 39.14
2019-09-12 12:00:00 Sensor11 SO2 70.97
2019-09-12 12:00:00 Sensor11 PM10 50.17
2019-09-13 12:00:00 Sensor11 O3 59.59
2019-09-13 12:00:00 Sensor11 NO2 34.56
2019-09-13 12:00:00 Sensor11 SO2 71.47
2019-09-13 12:00:00 Sensor11 PM10 51.15
2019-09-14 12:00:00 Sensor11 O3 61.96
2019-09-14 12:00:00 Sensor11 NO2 54.39
2019-09-14 12:00:00 Sensor11 SO2 60.86
2019-09-14 12:00:00 Sensor11 PM10 45.07
2019-09-15 12:00:00 Sensor11 O3 67.93
2019-09-15 12:00:00 Sensor11 NO2 48.03
2019-09-15 12:00:00 Sensor11 SO2 47.53
2019-09-15 12:00:00 Sensor11 PM10 67.44
2019-09-16 12:00:00 Sensor11 O3 61.6
2019-09-16 12:00:00 Sensor11 NO2 77.91
2019-09-16 12:00:00 Sensor11 SO2 26.69
